presentation_table,cell,complete,expected_seeds,group,included_seeds,mean,metric,metric_label,n_seeds,sd,table
Dependence_strength_sweep_depstatic_n7_r1,truthful|both|2.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|both|4.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|both|6.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.021200000000000004,false_ejection_rate,false_ejection_rate,5,0.0033466401061363026,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|both|8.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.1078,false_ejection_rate,false_ejection_rate,5,0.005805170109479997,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|crew_rule|0.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|crew_rule|1.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|crew_rule|2.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|crew_rule|4.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|crew_rule|6.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|crew_rule|8.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|vote_tally|0.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|vote_tally|1.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|vote_tally|2.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|vote_tally|4.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|vote_tally|6.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.021200000000000004,false_ejection_rate,false_ejection_rate,5,0.0033466401061363026,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|vote_tally|8.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.1078,false_ejection_rate,false_ejection_rate,5,0.005805170109479997,strength_sweep
Scripted_rule_evaluation_f2_tenseed_crew3,alibi|dependence_aware,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f2_tenseed_crew3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4509,false_ejection_rate,false_ejection_rate,10,0.012723119813071707,rules
