kind,crew,condition,rule,variant,metric,n_replicates,mean,sd,minimum,maximum,replicate_values
outcome,3,framer,sharp_credibility,catch_outside,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,catch_outside,false_ejection_rate,10,0.5109999999999999,0.020357908646136645,0.474,0.544,"[0.524,0.52,0.49,0.524,0.474,0.502,0.544,0.516,0.496,0.52]"
outcome,3,framer,sharp_credibility,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,catch_outside,no_ejection_rate,10,0.48900000000000005,0.020357908646136635,0.456,0.526,"[0.476,0.48,0.51,0.476,0.526,0.498,0.456,0.484,0.504,0.48]"
outcome,3,framer,soft_credibility,alibi_off,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,alibi_off,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,soft_credibility,alibi_off,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,alibi_off,false_ejection_rate,10,0.5306000000000001,0.019822546086043894,0.498,0.56,"[0.552,0.538,0.508,0.544,0.498,0.522,0.56,0.532,0.514,0.538]"
outcome,3,framer,soft_credibility,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,alibi_off,no_ejection_rate,10,0.4694,0.019822546086043866,0.44,0.502,"[0.448,0.462,0.492,0.456,0.502,0.478,0.44,0.468,0.486,0.462]"
outcome,3,framer,soft_credibility,baseline,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,baseline,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,soft_credibility,baseline,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,baseline,false_ejection_rate,10,0.5294000000000001,0.020023319738078752,0.496,0.56,"[0.55,0.536,0.508,0.542,0.496,0.52,0.56,0.532,0.512,0.538]"
outcome,3,framer,soft_credibility,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,baseline,no_ejection_rate,10,0.47059999999999996,0.02002331973807872,0.44,0.504,"[0.45,0.464,0.492,0.458,0.504,0.48,0.44,0.468,0.488,0.462]"
outcome,3,framer,soft_credibility,catch_outside,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,catch_outside,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,soft_credibility,catch_outside,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,catch_outside,false_ejection_rate,10,0.5294000000000001,0.020023319738078752,0.496,0.56,"[0.55,0.536,0.508,0.542,0.496,0.52,0.56,0.532,0.512,0.538]"
outcome,3,framer,soft_credibility,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,soft_credibility,catch_outside,no_ejection_rate,10,0.47059999999999996,0.02002331973807872,0.44,0.504,"[0.45,0.464,0.492,0.458,0.504,0.48,0.44,0.468,0.488,0.462]"
outcome,3,lone_liar,mean,alibi_off,coalition_favorable_rate,10,0.9629999999999999,0.00694422221866656,0.952,0.972,"[0.97,0.972,0.966,0.952,0.962,0.954,0.97,0.96,0.958,0.966]"
outcome,3,lone_liar,mean,alibi_off,creator_ejection_rate,10,0.037,0.006944222218666554,0.028,0.048,"[0.03,0.028,0.034,0.048,0.038,0.046,0.03,0.04,0.042,0.034]"
outcome,3,lone_liar,mean,alibi_off,creator_survival,10,0.9629999999999999,0.00694422221866656,0.952,0.972,"[0.97,0.972,0.966,0.952,0.962,0.954,0.97,0.96,0.958,0.966]"
outcome,3,lone_liar,mean,alibi_off,false_ejection_rate,10,0.36619999999999997,0.018365426455404982,0.34,0.396,"[0.344,0.37,0.38,0.34,0.386,0.356,0.356,0.376,0.358,0.396]"
