crew,condition,rule,variant,metric,replicate,value,kind
3,framer,sharp_credibility,baseline,no_ejection_rate,0,0.474,outcome
3,framer,sharp_credibility,baseline,incident_rate,0,1.0,outcome
3,framer,sharp_credibility,alibi_off,false_ejection_rate,0,0.534,outcome
3,framer,sharp_credibility,alibi_off,coalition_favorable_rate,0,1.0,outcome
3,framer,sharp_credibility,alibi_off,creator_ejection_rate,0,0.0,outcome
3,framer,sharp_credibility,alibi_off,creator_survival,0,1.0,outcome
3,framer,sharp_credibility,alibi_off,no_ejection_rate,0,0.466,outcome
3,framer,sharp_credibility,alibi_off,incident_rate,0,1.0,outcome
3,framer,sharp_credibility,catch_outside,false_ejection_rate,0,0.524,outcome
3,framer,sharp_credibility,catch_outside,coalition_favorable_rate,0,1.0,outcome
3,framer,sharp_credibility,catch_outside,creator_ejection_rate,0,0.0,outcome
3,framer,sharp_credibility,catch_outside,creator_survival,0,1.0,outcome
3,framer,sharp_credibility,catch_outside,no_ejection_rate,0,0.476,outcome
3,framer,sharp_credibility,catch_outside,incident_rate,0,1.0,outcome
3,truthful,mean,baseline,false_ejection_rate,1,0.0,outcome
3,truthful,mean,baseline,coalition_favorable_rate,1,0.93,outcome
3,truthful,mean,baseline,creator_ejection_rate,1,0.07,outcome
3,truthful,mean,baseline,creator_survival,1,0.93,outcome
3,truthful,mean,baseline,no_ejection_rate,1,0.93,outcome
3,truthful,mean,baseline,incident_rate,1,1.0,outcome
3,truthful,mean,alibi_off,false_ejection_rate,1,0.0,outcome
3,truthful,mean,alibi_off,coalition_favorable_rate,1,0.898,outcome
3,truthful,mean,alibi_off,creator_ejection_rate,1,0.102,outcome
3,truthful,mean,alibi_off,creator_survival,1,0.898,outcome
3,truthful,mean,alibi_off,no_ejection_rate,1,0.898,outcome
3,truthful,mean,alibi_off,incident_rate,1,1.0,outcome
3,truthful,mean,catch_outside,false_ejection_rate,1,0.0,outcome
3,truthful,mean,catch_outside,coalition_favorable_rate,1,0.93,outcome
3,truthful,mean,catch_outside,creator_ejection_rate,1,0.07,outcome
3,truthful,mean,catch_outside,creator_survival,1,0.93,outcome
3,truthful,mean,catch_outside,no_ejection_rate,1,0.93,outcome
3,truthful,mean,catch_outside,incident_rate,1,1.0,outcome
3,truthful,soft_credibility,baseline,false_ejection_rate,1,0.0,outcome
3,truthful,soft_credibility,baseline,coalition_favorable_rate,1,0.93,outcome
3,truthful,soft_credibility,baseline,creator_ejection_rate,1,0.07,outcome
3,truthful,soft_credibility,baseline,creator_survival,1,0.93,outcome
3,truthful,soft_credibility,baseline,no_ejection_rate,1,0.93,outcome
3,truthful,soft_credibility,baseline,incident_rate,1,1.0,outcome
3,truthful,soft_credibility,baseline,n_speakers,1,4.0,voter
3,truthful,soft_credibility,baseline,coalition_share,1,0.5,voter
3,truthful,soft_credibility,baseline,coalition_weight_soft,1,0.5,voter
3,truthful,soft_credibility,baseline,weight_minus_share,1,0.0,voter
3,truthful,soft_credibility,baseline,cred_coalition,1,3.0,voter
3,truthful,soft_credibility,baseline,cred_honest,1,3.0,voter
3,truthful,soft_credibility,baseline,uninformative_share,1,0.0,voter
3,truthful,soft_credibility,baseline,weight_on_uninformative,1,0.0,voter
3,truthful,soft_credibility,baseline,coalition_caught,1,0.0,voter
3,truthful,soft_credibility,baseline,argmax_differs,1,0.0,voter
3,truthful,soft_credibility,baseline,mean_top_is_coalition,1,1.0,voter
3,truthful,soft_credibility,baseline,soft_top_is_coalition,1,1.0,voter
3,truthful,soft_credibility,baseline,mean_skips,1,0.0,voter
3,truthful,soft_credibility,baseline,soft_skips,1,0.0,voter
3,truthful,soft_credibility,alibi_off,false_ejection_rate,1,0.0,outcome
3,truthful,soft_credibility,alibi_off,coalition_favorable_rate,1,0.898,outcome
3,truthful,soft_credibility,alibi_off,creator_ejection_rate,1,0.102,outcome
3,truthful,soft_credibility,alibi_off,creator_survival,1,0.898,outcome
3,truthful,soft_credibility,alibi_off,no_ejection_rate,1,0.898,outcome
3,truthful,soft_credibility,alibi_off,incident_rate,1,1.0,outcome
3,truthful,soft_credibility,catch_outside,false_ejection_rate,1,0.0,outcome
3,truthful,soft_credibility,catch_outside,coalition_favorable_rate,1,0.93,outcome
3,truthful,soft_credibility,catch_outside,creator_ejection_rate,1,0.07,outcome
3,truthful,soft_credibility,catch_outside,creator_survival,1,0.93,outcome
3,truthful,soft_credibility,catch_outside,no_ejection_rate,1,0.93,outcome
3,truthful,soft_credibility,catch_outside,incident_rate,1,1.0,outcome
3,truthful,sharp_credibility,baseline,false_ejection_rate,1,0.0,outcome
3,truthful,sharp_credibility,baseline,coalition_favorable_rate,1,0.93,outcome
3,truthful,sharp_credibility,baseline,creator_ejection_rate,1,0.07,outcome
3,truthful,sharp_credibility,baseline,creator_survival,1,0.93,outcome
3,truthful,sharp_credibility,baseline,no_ejection_rate,1,0.93,outcome
3,truthful,sharp_credibility,baseline,incident_rate,1,1.0,outcome
3,truthful,sharp_credibility,alibi_off,false_ejection_rate,1,0.0,outcome
3,truthful,sharp_credibility,alibi_off,coalition_favorable_rate,1,0.898,outcome
3,truthful,sharp_credibility,alibi_off,creator_ejection_rate,1,0.102,outcome
3,truthful,sharp_credibility,alibi_off,creator_survival,1,0.898,outcome
3,truthful,sharp_credibility,alibi_off,no_ejection_rate,1,0.898,outcome
3,truthful,sharp_credibility,alibi_off,incident_rate,1,1.0,outcome
3,truthful,sharp_credibility,catch_outside,false_ejection_rate,1,0.0,outcome
3,truthful,sharp_credibility,catch_outside,coalition_favorable_rate,1,0.93,outcome
3,truthful,sharp_credibility,catch_outside,creator_ejection_rate,1,0.07,outcome
3,truthful,sharp_credibility,catch_outside,creator_survival,1,0.93,outcome
3,truthful,sharp_credibility,catch_outside,no_ejection_rate,1,0.93,outcome
3,truthful,sharp_credibility,catch_outside,incident_rate,1,1.0,outcome
3,lone_liar,mean,baseline,false_ejection_rate,1,0.32,outcome
3,lone_liar,mean,baseline,coalition_favorable_rate,1,0.826,outcome
3,lone_liar,mean,baseline,creator_ejection_rate,1,0.172,outcome
3,lone_liar,mean,baseline,creator_survival,1,0.828,outcome
3,lone_liar,mean,baseline,no_ejection_rate,1,0.506,outcome
3,lone_liar,mean,baseline,incident_rate,1,1.0,outcome
3,lone_liar,mean,alibi_off,false_ejection_rate,1,0.37,outcome
3,lone_liar,mean,alibi_off,coalition_favorable_rate,1,0.972,outcome
3,lone_liar,mean,alibi_off,creator_ejection_rate,1,0.028,outcome
3,lone_liar,mean,alibi_off,creator_survival,1,0.972,outcome
3,lone_liar,mean,alibi_off,no_ejection_rate,1,0.602,outcome
3,lone_liar,mean,alibi_off,incident_rate,1,1.0,outcome
3,lone_liar,mean,catch_outside,false_ejection_rate,1,0.32,outcome
3,lone_liar,mean,catch_outside,coalition_favorable_rate,1,0.826,outcome
3,lone_liar,mean,catch_outside,creator_ejection_rate,1,0.172,outcome
3,lone_liar,mean,catch_outside,creator_survival,1,0.828,outcome
3,lone_liar,mean,catch_outside,no_ejection_rate,1,0.506,outcome
3,lone_liar,mean,catch_outside,incident_rate,1,1.0,outcome
3,lone_liar,soft_credibility,baseline,false_ejection_rate,1,0.208,outcome
3,lone_liar,soft_credibility,baseline,coalition_favorable_rate,1,0.826,outcome
3,lone_liar,soft_credibility,baseline,creator_ejection_rate,1,0.17,outcome
3,lone_liar,soft_credibility,baseline,creator_survival,1,0.83,outcome
3,lone_liar,soft_credibility,baseline,no_ejection_rate,1,0.618,outcome
3,lone_liar,soft_credibility,baseline,incident_rate,1,1.0,outcome
3,lone_liar,soft_credibility,baseline,n_speakers,1,4.0,voter
3,lone_liar,soft_credibility,baseline,coalition_share,1,0.5,voter
3,lone_liar,soft_credibility,baseline,coalition_weight_soft,1,0.4207155648010985,voter
3,lone_liar,soft_credibility,baseline,weight_minus_share,1,-0.07928443519890152,voter
3,lone_liar,soft_credibility,baseline,cred_coalition,1,1.5485,voter
3,lone_liar,soft_credibility,baseline,cred_honest,1,2.983,voter
3,lone_liar,soft_credibility,baseline,uninformative_share,1,0.0,voter
3,lone_liar,soft_credibility,baseline,weight_on_uninformative,1,0.0,voter
