crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,alibi,soft_credibility,coalition_favorable_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,coalition_favorable_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,alibi,soft_credibility,creator_ejection_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,creator_ejection_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,alibi,soft_credibility,creator_survival,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,creator_survival,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,alibi,soft_credibility,false_ejection_rate,catch_outside minus baseline,10,-0.02420000000000001,0.00662989860824097,-0.03200000000000003,-0.010000000000000009,"[-0.010000000000000009,-0.016000000000000014,-0.027999999999999914,-0.03200000000000003,-0.026000000000000023,-0.026000000000000023,-0.030000000000000027,-0.02200000000000002,-0.026000000000000023,-0.026000000000000023]",
3,alibi,,false_ejection_rate,soft_credibility minus mean,10,-0.0134,0.007366591251499343,-0.026000000000000023,-0.0020000000000000018,"[-0.0020000000000000018,-0.016000000000000014,-0.017999999999999905,-0.018000000000000016,-0.014000000000000012,-0.0020000000000000018,-0.01200000000000001,-0.016000000000000014,-0.026000000000000023,-0.010000000000000009]",catch_outside
3,alibi,soft_credibility,incident_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,incident_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,alibi,soft_credibility,no_ejection_rate,catch_outside minus baseline,10,0.024199999999999992,0.0066298986082409805,0.010000000000000009,0.03200000000000003,"[0.010000000000000009,0.01599999999999996,0.028000000000000025,0.03200000000000003,0.025999999999999968,0.025999999999999968,0.030000000000000027,0.021999999999999964,0.026000000000000023,0.025999999999999968]",
3,alibi,,no_ejection_rate,soft_credibility minus mean,10,0.0134,0.007366591251499345,0.0020000000000000018,0.026000000000000023,"[0.0020000000000000018,0.01599999999999996,0.018000000000000016,0.018000000000000016,0.014000000000000012,0.0020000000000000018,0.01200000000000001,0.01599999999999996,0.026000000000000023,0.010000000000000009]",catch_outside
3,framer,mean,coalition_favorable_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,creator_ejection_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,creator_survival,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
